timestamp,x,y
2018-04-30 00:00:00,1.84,A
2018-04-30 01:00:00,1.47,C
2018-04-30 02:00:00,0.2,B
2018-04-30 03:00:00,0.17,C
2018-04-30 04:00:00,2.06,C
2018-04-30 05:00:00,0.74,B
2018-04-30 06:00:00,-0.77,A
2018-04-30 07:00:00,0.98,C
2018-04-30 08:00:00,0.18,A
2018-04-30 09:00:00,-1.02,A
2018-04-30 10:00:00,-1.07,C
2018-04-30 11:00:00,-0.13,C
2018-04-30 12:00:00,-2.05,B
2018-04-30 13:00:00,1.25,A
2018-04-30 14:00:00,-0.36,B
2018-04-30 15:00:00,1.42,A
2018-04-30 16:00:00,-0.32,A
2018-04-30 17:00:00,0.28,C
2018-04-30 18:00:00,-1.11,A
2018-04-30 19:00:00,0.17,A
2018-04-30 20:00:00,1.21,B
2018-04-30 21:00:00,-0.81,B
2018-04-30 22:00:00,1.89,B
2018-04-30 23:00:00,-0.94,A
2018-05-01 00:00:00,-2.05,B
2018-05-01 01:00:00,-1.02,A
2018-05-01 02:00:00,-0.53,A
2018-05-01 03:00:00,0.25,A
2018-05-01 04:00:00,0.64,C
2018-05-01 05:00:00,-0.81,A
2018-05-01 06:00:00,-1.61,B
2018-05-01 07:00:00,0.21,B
2018-05-01 08:00:00,-0.24,B
2018-05-01 09:00:00,1.91,B
2018-05-01 10:00:00,1.21,C
2018-05-01 11:00:00,-1.59,C
2018-05-01 12:00:00,0.51,C
2018-05-01 13:00:00,0.16,A
2018-05-01 14:00:00,0.67,C
2018-05-01 15:00:00,0.23,C
2018-05-01 16:00:00,-1.3,A
2018-05-01 17:00:00,-1.26,C
2018-05-01 18:00:00,0.26,A
2018-05-01 19:00:00,-1.83,C
2018-05-01 20:00:00,0.28,C
2018-05-01 21:00:00,0.3,A
2018-05-01 22:00:00,0.26,B
2018-05-01 23:00:00,1.33,C
